username,published,likes,text,video_id,clean,stemmed,Label
@Munalih-y7x,2025-11-05T19:59:04Z,1,knapa ada perdebatan ke gini si ini gak bener gak pernah ada habisnya cuman buang waktu.. tanggapannya gak bener gak masuk akal gak fokus dengan jawabanya ngelantur.. maaf saya kira gak penting ada perdebatan seperti ini..,gP0YCMCJnjA,knapa perdebatan gini si gak bener gak habisnya cuman buang tanggapannya gak bener gak masuk akal gak fokus jawabanya ngelantur maaf gak perdebatan,knapa debat gin si gak bener gak habis cuman buang tanggap gak bener gak masuk akal gak fokus jawabanya ngelantur maaf gak debat,0
@AhmadkucingArab,2025-09-09T03:37:09Z,0,kok bisa sepercaya diri ini ya. heran,gP0YCMCJnjA,sepercaya ya heran,percaya ya heran,0
@itsmosarisha-y4w,2025-09-01T07:27:34Z,0,1:48:06 mantap,gP0YCMCJnjA,mantap,mantap,0
@alfath9859,2025-08-30T06:01:12Z,0,good job,gP0YCMCJnjA,good job,good job,0
@HadWanakarsa,2025-08-29T13:14:47Z,0,gabhpanen.trs.dkim.bulog.trus.ga.laku.tenaga.krjanya.mahl,gP0YCMCJnjA,gabhpanen trs dkim bulog trus ga laku tenaga krjanya mahl,gabhpanen trs dkim bulog trus ga laku tenaga krjanya mahl,0
@HadWanakarsa,2025-08-29T13:12:21Z,0,jadi.petsni.buksn.nya.susah.penģhasilane.tani.mùŕh.gabosa.untuk.biaya.hidp.udh.coba.nandr.apa.aja..ndur.pari.nadur.jagung.udh.nďur.tela.udh.nsndur.kopi.udh.nsndr.kopilsga.udh.ndrdurisn..udh.coba.apaaja,gP0YCMCJnjA,petsni buksn nya susah pen hasilane tani m h gabosa biaya hidp udh coba nandr aja ndur pari nadur jagung udh n ur tela udh nsndur kopi udh nsndr kopilsga udh ndrdurisn udh coba apaaja,petsni buksn nya susah pen hasilane tani m h gabosa biaya hidp udh coba nandr aja ndur pari nadur jagung udh n ur tela udh nsndur kopi udh nsndr kopilsga udh ndrdurisn udh coba apaaja,0
@HadWanakarsa,2025-08-29T13:07:08Z,0,orang.miskin.demo.sslah.brgitu.sslah.cariti.krja.enggaada.prtanian.klo.lagi.p,gP0YCMCJnjA,orang miskin demo sslah brgitu sslah cariti krja enggaada prtanian klo p,orang miskin demo sslah brgitu sslah cariti krja enggaada prtanian klo p,0
@HadWanakarsa,2025-08-29T13:02:28Z,0,ddh.20thn.lebh.rayat.meñderts.semenjak.ada.bantuan.sembako.sangat.trburuk.nmbh.kemiskinan,gP0YCMCJnjA,ddh thn lebh rayat me derts semenjak bantuan sembako trburuk nmbh kemiskinan,ddh thn lebh rayat me derts semenjak bantu sembako trburuk nmbh miskin,0
@HadiYuuta,2025-08-26T11:05:28Z,0,ah cuman ngobrol doang ini mah,gP0YCMCJnjA,ah cuman ngobrol doang mah,ah cuman ngobrol doang mah,0
@MuryatinMoryatin,2025-08-21T14:15:06Z,0,perampasan aset kok blm di jawab,gP0YCMCJnjA,perampasan aset blm,ampas aset blm,0
@MuryatinMoryatin,2025-08-21T13:52:39Z,0,"mantap pertanya,an ibu berkacamata ini",gP0YCMCJnjA,mantap pertanya an berkacamata,mantap tanya an kacamata,0
@MuryatinMoryatin,2025-08-21T13:51:21Z,0,"saya hrp bpk prabowo bs secepatnya menyelesaikan mslh dlm negri dl,dan sahkan uud hukuman perampasan aset bg koroptor",gP0YCMCJnjA,hrp bpk prabowo bs secepatnya menyelesaikan mslh dlm negri dl sahkan uud hukuman perampasan aset bg koroptor,hrp bpk prabowo bs cepat selesai mslh dlm negri dl sahkan uud hukum ampas aset bg koroptor,0
@MuryatinMoryatin,2025-08-21T13:48:49Z,0,"luar biasa pemimpin prabowo ini ,negarawan yg kompetensi",gP0YCMCJnjA,pemimpin prabowo negarawan yg kompetensi,pimpin prabowo negarawan yg kompetensi,0
@riskariska2736,2025-08-21T08:09:14Z,0,liat la rakyat menjerit2.,gP0YCMCJnjA,liat la rakyat menjerit,liat la rakyat jerit,0
@riskariska2736,2025-08-21T08:08:51Z,0,adili jokowi dan koroptor2 lah. rakyat,gP0YCMCJnjA,adili jokowi koroptor rakyat,adil jokowi koroptor rakyat,0
@riskariska2736,2025-08-21T08:07:54Z,0,hapus kebijakan yg menyusahkan rakyat,gP0YCMCJnjA,hapus kebijakan yg menyusahkan rakyat,hapus bijak yg susah rakyat,0
@riskariska2736,2025-08-21T08:07:32Z,0,bubar kan dpr,gP0YCMCJnjA,bubar dpr,bubar dpr,0
@riskariska2736,2025-08-21T08:07:05Z,0,asalamulaikumsmg bk presiden dgr suara rakyat.jeeitan rakyat,gP0YCMCJnjA,asalamulaikumsmg bk presiden dgr suara rakyat jeeitan rakyat,asalamulaikumsmg bk presiden dgr suara rakyat jeeitan rakyat,0
@BapakMistari-t3q,2025-08-20T16:54:08Z,0,"150 hari pmrintahn ptabowo tlh br hasil memuaskn dpr dngn gaji 3 jt pr hari, brhasil mnaik kn pjk yg mn cekik rkyt smpai mn jrit, mmbenadkn korptor dsri jeratn  hukum. dn br macm² kgaduhn",gP0YCMCJnjA,pmrintahn ptabowo tlh br hasil memuaskn dpr dngn gaji jt pr brhasil mnaik kn pjk yg mn cekik rkyt smpai mn jrit mmbenadkn korptor dsri jeratn hukum dn br macm kgaduhn,pmrintahn ptabowo tlh br hasil memuaskn dpr dngn gaji jt pr brhasil mnaik kn pjk yg mn cekik rkyt smpai mn jrit mmbenadkn korptor dsri jeratn hukum dn br macm kgaduhn,0
@suparmankrajan42,2025-08-08T04:16:16Z,1,sudah tdk ngefek!.......,gP0YCMCJnjA,tdk ngefek,tdk ngefek,0
@EDUARZETHSUMASUNDU,2025-08-07T17:34:09Z,1,oke sebelu gan tuk ijindulu mau keja,gP0YCMCJnjA,oke sebelu gan tuk ijindulu keja,oke belu gan tuk ijindulu keja,0
@KarsonoTwi,2025-08-07T16:03:05Z,1,"valeria daniel masih cantik, awet muda, terakhir dilayar kaca dunia dalam berita sehat dan sukses sllu",gP0YCMCJnjA,valeria daniel cantik awet muda dilayar kaca dunia berita sehat sukses sllu,valeria daniel cantik awet muda layar kaca dunia berita sehat sukses sllu,0
@Dahyar123,2025-08-04T07:02:20Z,0,"tambah parah dipimpin prabowo omong kosong melulu buktinya koruptor malah dilindungi,gas elpiji macet,pertamak maupun pertaleit ngantri di mana,lebih lagi solar tambah parah,rakyat tambah melarat,,ngomong kosong melulu biadab",gP0YCMCJnjA,parah dipimpin prabowo omong kosong melulu buktinya koruptor dilindungi gas elpiji macet pertamak pertaleit ngantri solar parah rakyat melarat ngomong kosong melulu biadab,parah pimpin prabowo omong kosong melulu bukti koruptor lindung gas elpiji macet tamak pertaleit ngantri solar parah rakyat melarat ngomong kosong melulu biadab,0
